address,country,hs_object_id,industry,phone,raw_email,technical_test___create_date,city,countryTuple
"Norland  Boulevard, 6623",England,460457,Dairy products,(+44) 1312 606285,abdul_moore1486518155@sheye.org,2021-07-22,Milton Keynes,"('England', 'Milton Keynes')"
"East Way, 2961",Ireland,463401,Dairy products,(+44) 4011 103535,abdul_moore1733039107@qater.org,2021-03-11,Limerick,"('Ireland', 'Limerick')"
"Balham   Crossroad, 4709",Ireland,458516,Bakery products,(+44) 1240 467061,abdul_morgan12839057@gembat.biz,2021-06-20,Dublin,"('Ireland', 'Dublin')"
"Dunsley  Lane, 6493",Ireland,460831,Poultry and fish,(+44) 3015 716818,abdul_morgan383251951@mafthy.com,2021-12-16,,"('Ireland', nan)"
"Oxford Lane, 7384",Ireland,447147,Dairy products,(+44) 1486 28175,abdul_morgan953738155@bungar.biz,2021-10-02,Limerick,"('Ireland', 'Limerick')"
"Kingly  Rue, 7067",England,448184,Animal feeds,(+44) 7753 501577,abdul_oakley220560314@joiniaa.com,2021-02-26,,"('England', nan)"
"Champion  Rue, 2433",England,462952,Poultry and fish,(+44) 5246 366705,abdul_oakley909136497@famism.biz,2021-01-21,Milton Keynes,"('England', 'Milton Keynes')"
"Enford   Avenue, 9715",Ireland,451184,Animal feeds,(+44) 7805 834184,abdul_patel106544528@fuliss.net,2021-04-15,,"('Ireland', nan)"
"King William  Vale, 6902",England,460614,Bakery products,(+44) 8857 021682,abdul_patel461954236@nickia.com,2021-09-24,,"('England', nan)"
"Marina  Lane, 4574",Ireland,460223,Bakery products,(+44) 4772 703465,abdul_patel644224692@nickia.com,2021-08-07,Limerick,"('Ireland', 'Limerick')"
"Lake Pass, 1667",England,460609,Animal feeds,(+44) 8025 437773,abdul_payne283008121@tonsy.org,2021-12-19,Oxford,"('England', 'Oxford')"
"Clerkenwell Boulevard, 9434",England,457922,Milling,(+44) 5461 104471,abdul_payne332689333@extex.org,2021-10-03,Plymouth,"('England', 'Plymouth')"
"Bishop   Street, 164",England,460219,Poultry and fish,(+44) 6324 844718,abdul_randall837668588@atink.com,2021-09-10,Winchester,"('England', 'Winchester')"
"Vine  Walk, 9162",Ireland,460836,Dairy products,(+44) 7437 760716,abdul_randall893296625@liret.org,2021-03-03,,"('Ireland', nan)"
"Bolton  Tunnel, 6056",England,457932,Meat,(+44) 1080 63874,abdul_samuel311062258@liret.org,2021-06-21,,"('England', nan)"
"Abourne   Grove, 8800",Ireland,460239,Dairy products,(+44) 5828 324134,abdul_saunders692449639@deavo.com,2021-11-09,,"('Ireland', nan)"
"Timothy  Crossroad, 4970",Ireland,459551,Poultry and fish,(+44) 4578 233770,abdul_saunders790488636@bretoux.com,2021-10-24,Cork,"('Ireland', 'Cork')"
"Balfe   Crossroad, 2749",Ireland,460859,Dairy products,(+44) 4834 264516,abdul_stewart1073057390@twipet.com,2021-07-06,,"('Ireland', nan)"
"Addison  Walk, 5798",England,460951,Fruit and vegetables,(+44) 4446 463108,abdul_stewart478223213@jiman.org,2021-03-11,Milton Keynes,"('England', 'Milton Keynes')"
"Cave   Hill, 7549",Ireland,460191,Poultry and fish,(+44) 3525 007726,abdul_stewart945145331@deavo.com,2021-02-24,Cork,"('Ireland', 'Cork')"
"Waite  Drive, 215",England,456915,Fruit and vegetables,(+44) 5583 403128,abdul_vaughan1295838791@acrit.org,2021-05-24,Plymouth,"('England', 'Plymouth')"
"Apsley    Rue, 1281",England,460604,Meat,(+44) 3405 845316,abdul_vaughan1727425708@liret.org,2021-09-07,Plymouth,"('England', 'Plymouth')"
"Linda Lane Lane, 5888",Ireland,461525,Poultry and fish,(+44) 4408 470538,abdul_welsch500136973@grannar.com,2021-09-24,Dublin,"('Ireland', 'Dublin')"
"Blomfield  Route, 8926",England,460670,Bakery products,(+44) 6840 625582,abdul_welsch831050965@zorer.org,2021-04-14,London,"('England', 'London')"
"Magnolia Lane, 4737",England,454991,Poultry and fish,(+44) 8305 713474,abdul_wilde78520748@muall.tech,2021-11-10,,"('England', nan)"
"Victoria Rise Route, 3689",Ireland,461205,Animal feeds,(+44) 8187 224442,abdul_wilde86285072@bungar.biz,2021-02-14,Limerick,"('Ireland', 'Limerick')"
"Carol   Vale, 6511",Ireland,461357,Poultry and fish,(+44) 4525 215802,ada_bell1469901533@mafthy.com,2021-09-25,Dublin,"('Ireland', 'Dublin')"
"Elgood   Vale, 9587",England,460858,Fruit and vegetables,(+44) 8786 060077,ada_bell374211668@nimogy.biz,2021-12-07,Milton Keynes,"('England', 'Milton Keynes')"
"Fieldstone Crossroad, 6571",Ireland,461383,Bakery products,(+44) 1227 556216,ada_flanders582481047@iatim.tech,2021-12-15,Cork,"('Ireland', 'Cork')"
"Bekesbourne   Vale, 9211",Ireland,454993,Bakery products,(+44) 1280 418161,ada_gray1667084760@bungar.biz,2021-08-18,,"('Ireland', nan)"
"Wakley   Way, 3258",England,461201,Bakery products,(+44) 5700 186808,ada_hunter1221652304@irrepsy.com,2021-02-09,,"('England', nan)"
"Ashley Grove, 7306",England,452547,Fruit and vegetables,(+44) 2150 744144,ada_hunter1877745483@tonsy.org,2021-04-27,Oxford,"('England', 'Oxford')"
"Birkbeck  Avenue, 3128",Ireland,460816,Poultry and fish,(+44) 5472 617828,ada_robinson855730178@kideod.biz,2021-06-09,Waterford,"('Ireland', 'Waterford')"
"Camdale  Avenue, 5737",Ireland,460168,Bakery products,(+44) 5507 734616,ada_robinson9305370@ubusive.com,2021-11-02,Limerick,"('Ireland', 'Limerick')"
"Duthie   Boulevard, 4172",Ireland,448238,Milling,(+44) 1367 736873,adalie_cann1109862018@deons.tech,2021-09-05,Limerick,"('Ireland', 'Limerick')"
"St. Pauls  Avenue, 8168",England,460234,Poultry and fish,(+44) 4320 622388,adalie_cann1907346233@corti.com,2021-05-03,,"('England', nan)"
"Spruce Walk, 424",Ireland,462151,Milling,(+44) 5616 542556,adalie_clifton1479415399@brety.org,2021-11-04,Limerick,"('Ireland', 'Limerick')"
"Balfe   Hill, 2115",Ireland,457610,Meat,(+44) 6036 130668,adalie_ingham1025707223@typill.biz,2021-07-14,Cork,"('Ireland', 'Cork')"
"Clyde Street, 7368",England,454620,Milling,(+44) 2368 307756,adalie_ingham1690229061@eirey.tech,2021-03-17,London,"('England', 'London')"
"Bethwin  Alley, 8027",Ireland,451199,Fruit and vegetables,(+44) 5617 544147,adalie_owen1032627388@nimogy.biz,2021-01-17,Cork,"('Ireland', 'Cork')"
"Yoakley Drive, 1515",England,457930,Animal feeds,(+44) 8887 208605,adalie_phillips1110048322@dionrab.com,2021-06-27,Oxford,"('England', 'Oxford')"
"Fawn Lane, 6539",Ireland,462452,Poultry and fish,(+44) 5771 058017,adalie_phillips1643356969@corti.com,2021-12-29,Limerick,"('Ireland', 'Limerick')"
"Apostle  Boulevard, 39",England,455799,Bakery products,(+44) 8345 655813,adalie_watson388259564@cispeto.com,2021-04-12,Winchester,"('England', 'Winchester')"
"Howard Avenue, 7725",England,457518,Fruit and vegetables,(+44) 8226 050502,adalie_watson419281304@grannar.com,2021-09-21,Plymouth,"('England', 'Plymouth')"
"Kilner   Tunnel, 13",England,461114,Milling,(+44) 1460 453758,adalind_norman1985722433@bulaffy.com,2021-12-29,,"('England', nan)"
"Bedford  Route, 3402",Ireland,460243,Milling,(+44) 8174 087671,adalind_oakley1986170870@irrepsy.com,2021-04-05,Waterford,"('Ireland', 'Waterford')"
"Rail Avenue, 3120",Ireland,459769,Bakery products,(+44) 5480 543400,adalind_oakley332024607@guentu.biz,2021-09-01,,"('Ireland', nan)"
"Rivervalley Avenue, 8068",Ireland,460827,Milling,(+44) 5420 640826,adalind_simpson1560138772@hourpy.biz,2021-03-11,Cork,"('Ireland', 'Cork')"
"Hampden  Way, 8013",England,454196,Poultry and fish,(+44) 4857 146078,adalind_simpson643660817@liret.org,2021-12-11,Plymouth,"('England', 'Plymouth')"
"Clavell   Boulevard, 7436",Ireland,447144,Animal feeds,(+44) 4042 311728,adela_addis168945668@extex.org,2021-08-05,Cork,"('Ireland', 'Cork')"
"Union  Rue, 8116",England,460227,Milling,(+44) 8158 811120,adela_addis1886571220@corti.com,2021-10-31,London,"('England', 'London')"
"Blackall   Crossroad, 7363",Ireland,461202,Bakery products,(+44) 2424 004528,adela_addis562062654@nanoff.biz,2021-09-07,,"('Ireland', nan)"
"Fawn Pass, 9997",England,462209,Milling,(+44) 8011 323834,adela_john223504921@cispeto.com,2021-10-23,Milton Keynes,"('England', 'Milton Keynes')"
"Mariner  Road, 9872",England,454624,Bakery products,(+44) 5781 450616,adeline_rixon1002221726@elnee.tech,2021-12-27,Winchester,"('England', 'Winchester')"
"Ellerman   Lane, 63",England,460458,Milling,(+44) 2201 635728,adeline_rixon673037481@tonsy.org,2021-11-01,Oxford,"('England', 'Oxford')"
"Eldon  Alley, 9131",Ireland,460675,Milling,(+44) 6808 667101,adina_dallas1909134042@guentu.biz,2021-01-14,Waterford,"('Ireland', 'Waterford')"
"Geary   Rue, 9793",England,459697,Milling,(+44) 6270 352503,adina_dallas826135765@bungar.biz,2021-05-20,Oxford,"('England', 'Oxford')"
"Catherine  Way, 2400",England,448232,Animal feeds,(+44) 7848 637160,adina_robinson1409488655@bauros.biz,2021-02-18,Milton Keynes,"('England', 'Milton Keynes')"
"Linda Lane Walk, 7575",England,457910,Milling,(+44) 4721 156127,adina_robinson934425231@sheye.org,2021-08-27,,"('England', nan)"
"Fieldstone Road, 877",England,461528,Meat,(+44) 3814 002764,adina_samuel986478129@brety.org,2021-06-25,Winchester,"('England', 'Winchester')"
"Fair Way, 9940",Ireland,454171,Animal feeds,(+44) 3187 407013,aeris_clarke1358223950@naiker.biz,2021-08-20,Waterford,"('Ireland', 'Waterford')"
"Baylis  Avenue, 5446",England,460247,Poultry and fish,(+44) 2062 23571,aeris_clarke836034276@qater.org,2021-02-07,Winchester,"('England', 'Winchester')"
"Yorkshire  Alley, 5843",Ireland,461395,Fruit and vegetables,(+44) 3814 518751,aeris_walsh769266811@gompie.com,2021-05-06,Cork,"('Ireland', 'Cork')"
"Pine Boulevard, 217",England,455798,Meat,(+44) 1265 221516,agnes_cox383717903@bungar.biz,2021-03-03,Plymouth,"('England', 'Plymouth')"
"Cockspur  Lane, 2959",England,461374,Animal feeds,(+44) 3605 106237,agnes_faulkner2080794510@typill.biz,2021-12-21,,"('England', nan)"
"Cleaver Route, 1911",England,447146,Fruit and vegetables,(+44) 7350 262585,agnes_harrison1633272576@bauros.biz,2021-11-16,Oxford,"('England', 'Oxford')"
"Sheffield Lane, 6813",Ireland,462761,Fruit and vegetables,(+44) 4035 221455,agnes_powell1349801172@famism.biz,2021-10-21,Limerick,"('Ireland', 'Limerick')"
"Becklow  Road, 8989",Ireland,454979,Bakery products,(+44) 5488 745558,agnes_walsh158588882@acrit.org,2021-11-04,Cork,"('Ireland', 'Cork')"
"Tisbury  Rue, 1792",Ireland,459030,Dairy products,(+44) 1750 721405,agnes_walsh1630841960@yahoo.com,2021-11-01,Waterford,"('Ireland', 'Waterford')"
"Thomas More   Pass, 825",Ireland,460909,Bakery products,(+44) 1615 423321,aiden_alldridge1425051113@vetan.org,2021-02-15,Dublin,"('Ireland', 'Dublin')"
"Arlington  Vale, 4408",Ireland,461524,Fruit and vegetables,(+44) 2257 680067,aiden_alldridge1827821041@nickia.com,2021-04-26,Dublin,"('Ireland', 'Dublin')"
"Pine Pass, 4855",Ireland,459013,Dairy products,(+44) 1437 307243,aiden_allen100436438@eirey.tech,2021-11-22,Dublin,"('Ireland', 'Dublin')"
"Cleaver Walk, 8480",Ireland,460919,Meat,(+44) 4816 670772,aiden_bullock1790234016@hourpy.biz,2021-11-15,Waterford,"('Ireland', 'Waterford')"
"Clerkenwell Grove, 3421",England,460820,Dairy products,(+44) 2523 647232,aiden_bullock588649024@joiniaa.com,2021-02-15,Oxford,"('England', 'Oxford')"
"Callcott   Way, 1611",Ireland,460472,Meat,(+44) 8788 240104,aiden_clifford608122767@mafthy.com,2021-12-19,Dublin,"('Ireland', 'Dublin')"
"Elba  Alley, 9380",Ireland,460366,Animal feeds,(+44) 8731 470025,aiden_clifford794001861@atink.com,2021-08-26,Cork,"('Ireland', 'Cork')"
"Cedarne  Hill, 3321",Ireland,460189,Animal feeds,(+44) 2081 14037,aiden_cooper436160852@iatim.tech,2021-04-22,Cork,"('Ireland', 'Cork')"
"Buttonwood Tunnel, 9765",Ireland,454630,Animal feeds,(+44) 3376 670122,aiden_cooper489314766@ovock.tech,2021-11-24,Limerick,"('Ireland', 'Limerick')"
"Arline    Vale, 8486",England,454582,Milling,(+44) 5612 134572,aiden_cooper525686999@iatim.tech,2021-09-29,,"('England', nan)"
"Parkfield  Alley, 7350",Ireland,462207,Dairy products,(+44) 5250 504442,aiden_eddison1108996147@infotech44.tech,2021-03-16,Dublin,"('Ireland', 'Dublin')"
"Fairfield  Drive, 7609",Ireland,454193,Animal feeds,(+44) 2003 301221,aiden_eddison148873831@atink.com,2021-04-12,,"('Ireland', nan)"
"Thomas Doyle   Alley, 1931",England,461382,Poultry and fish,(+44) 6576 550331,aiden_eyres544152863@ubusive.com,2021-05-30,Plymouth,"('England', 'Plymouth')"
"Chantry   Alley, 6477",England,460175,Animal feeds,(+44) 1403 173282,aiden_eyres868665927@sheye.org,2021-09-25,Plymouth,"('England', 'Plymouth')"
"Chelsea Manor  Boulevard, 3151",England,463002,Milling,(+44) 1121 762622,aiden_hope1270128896@kideod.biz,2021-01-06,,"('England', nan)"
"Belgrave  Rue, 6292",England,458519,Bakery products,(+44) 6316 784584,aiden_hope1577155349@dionrab.com,2021-04-11,London,"('England', 'London')"
"Comet House  Route, 8554",Ireland,457510,Fruit and vegetables,(+44) 7283 107147,aiden_knight1832823868@sveldo.biz,2021-05-05,,"('Ireland', nan)"
"Lincoln Tunnel, 5951",Ireland,455779,Bakery products,(+44) 4873 05480,aiden_knight216570811@atink.com,2021-12-08,,"('Ireland', nan)"
"Thoresby   Road, 1875",England,460473,Meat,(+44) 4414 127175,aiden_lee1822405523@acrit.org,2021-08-18,,"('England', nan)"
"Wake  Rue, 5071",Ireland,460460,Animal feeds,(+44) 7151 235824,aiden_lee2007754163@zorer.org,2021-12-08,Waterford,"('Ireland', 'Waterford')"
"Chelsea Manor  Route, 9715",Ireland,460157,Dairy products,(+44) 3405 751474,aiden_moore1200168614@irrepsy.com,2021-12-25,Dublin,"('Ireland', 'Dublin')"
"Bermondsey    Tunnel, 8756",Ireland,454847,Animal feeds,(+44) 1680 56222,aiden_moore1909654254@irrepsy.com,2021-07-05,Limerick,"('Ireland', 'Limerick')"
"Queen Caroline   Vale, 2972",England,459669,Dairy products,(+44) 5161 207142,aiden_moore942557022@brety.org,2021-09-26,Milton Keynes,"('England', 'Milton Keynes')"
"Tilson  Grove, 2528",England,461112,Fruit and vegetables,(+44) 7627 581778,aiden_squire1941506687@dionrab.com,2021-06-13,Milton Keynes,"('England', 'Milton Keynes')"
"Hickory Lane Rue, 4795",Ireland,459680,Dairy products,(+44) 8442 811337,aiden_stewart115509140@infotech44.tech,2021-03-04,Waterford,"('Ireland', 'Waterford')"
"Badric  Drive, 6598",England,455800,Poultry and fish,(+44) 7248 032138,aiden_stewart1839595121@infotech44.tech,2021-12-30,Winchester,"('England', 'Winchester')"
"Kilner   Vale, 1169",England,460751,Meat,(+44) 6450 387074,aiden_todd2033693239@guentu.biz,2021-02-19,Plymouth,"('England', 'Plymouth')"
"Camera  Grove, 4493",Ireland,447095,Milling,(+44) 3071 420045,aiden_todd343718827@atink.com,2021-02-13,Dublin,"('Ireland', 'Dublin')"
"Bede  Rue, 3145",England,457925,Meat,(+44) 7378 627536,aiden_uttley1392944711@dionrab.com,2021-06-18,Winchester,"('England', 'Winchester')"
"Clavell   Hill, 2772",Ireland,458351,Bakery products,(+44) 2086 437862,aiden_uttley937106941@nimogy.biz,2021-11-04,,"('Ireland', nan)"
"Virginia Crossroad, 5214",Ireland,454138,Dairy products,(+44) 2372 253785,aiden_vane1590802285@gompie.com,2021-06-04,Dublin,"('Ireland', 'Dublin')"
"Woodland Street, 1134",Ireland,460677,Fruit and vegetables,(+44) 2353 666412,aiden_vane1629441290@bretoux.com,2021-03-23,Cork,"('Ireland', 'Cork')"
"Chancellor  Grove, 7145",Ireland,457918,Milling,(+44) 6867 284370,aiden_vollans1221123551@cispeto.com,2021-08-27,Waterford,"('Ireland', 'Waterford')"
"Andrews  Crossroad, 262",England,462205,Animal feeds,(+44) 3031 165042,aiden_vollans2099115992@bretoux.com,2021-12-22,,"('England', nan)"
"Longman   Street, 3248",Ireland,460381,Milling,(+44) 1458 004228,aiden_walsh1569593255@ubusive.com,2021-05-18,Cork,"('Ireland', 'Cork')"
"Aspen Hill, 6132",England,461705,Poultry and fish,(+44) 5632 282447,aiden_walsh348159176@sveldo.biz,2021-04-28,Winchester,"('England', 'Winchester')"
"Caldwell   Street, 3404",England,462753,Milling,(+44) 4124 786072,aiden_walsh479229508@ubusive.com,2021-06-15,London,"('England', 'London')"
"Westbourne Crossroad, 4573",England,463252,Animal feeds,(+44) 6702 32276,aileen_chester2041110279@nanoff.biz,2021-04-12,London,"('England', 'London')"
"Bel   Road, 7261",Ireland,454988,Bakery products,(+44) 4226 334634,aileen_chester577734017@typill.biz,2021-07-12,,"('Ireland', nan)"
"Ensign   Grove, 4063",England,460849,Animal feeds,(+44) 3550 85386,aisha_atkinson2009026059@elnee.tech,2021-01-26,Oxford,"('England', 'Oxford')"
"Maple Pass, 6876",England,460102,Meat,(+44) 3667 587402,aisha_james1727632802@infotech44.tech,2021-08-22,Milton Keynes,"('England', 'Milton Keynes')"
"Rivervalley Pass, 5658",England,463751,Bakery products,(+44) 6532 48015,aisha_james1871390493@cispeto.com,2021-02-22,,"('England', nan)"
"Lake Street, 9829",England,460823,Bakery products,(+44) 1784 410684,aisha_powell1157513525@acrit.org,2021-08-02,Oxford,"('England', 'Oxford')"
"Besson  Crossroad, 866",Ireland,462152,Dairy products,(+44) 6458 535015,aisha_powell2013152705@zorer.org,2021-02-14,,"('Ireland', nan)"
"Camdale  Hill, 8338",England,454198,Dairy products,(+44) 2186 207016,alan_andrews1288989607@kideod.biz,2021-06-06,London,"('England', 'London')"
"Bury  Tunnel, 4521",Ireland,460226,Milling,(+44) 5305 586762,alan_andrews1789351806@nickia.com,2021-02-19,Dublin,"('Ireland', 'Dublin')"
"Cockspur  Way, 2130",Ireland,461851,Milling,(+44) 1868 354262,alan_blythe523878848@typill.biz,2021-06-13,Limerick,"('Ireland', 'Limerick')"
"Clavell   Vale, 4339",Ireland,459759,Poultry and fish,(+44) 1021 146543,alan_blythe883165182@guentu.biz,2021-12-22,Cork,"('Ireland', 'Cork')"
"Caroline  Vale, 4733",England,459687,Poultry and fish,(+44) 6545 33544,alan_collingwood1178091345@extex.org,2021-12-31,Milton Keynes,"('England', 'Milton Keynes')"
"Castile  Street, 1047",England,459682,Milling,(+44) 3544 170458,alan_collingwood1478240200@nanoff.biz,2021-10-21,,"('England', nan)"
"Bayberry Hill, 6703",England,448200,Bakery products,(+44) 7100 367533,alan_driscoll372218762@deavo.com,2021-12-19,Plymouth,"('England', 'Plymouth')"
"Spruce Grove, 2259",Ireland,461351,Poultry and fish,(+44) 3884 885664,alan_gordon1274417948@ovock.tech,2021-03-11,Limerick,"('Ireland', 'Limerick')"
"Belmore  Crossroad, 6085",England,451185,Dairy products,(+44) 3312 341771,alan_gordon641997722@deavo.com,2021-06-27,Plymouth,"('England', 'Plymouth')"
"Thoresby   Drive, 9654",Ireland,460692,Fruit and vegetables,(+44) 1503 68877,alan_harrison62194206@qater.org,2021-06-04,Waterford,"('Ireland', 'Waterford')"
"Bales  Pass, 6968",Ireland,461251,Milling,(+44) 3417 048530,alan_heaton1332796419@corti.com,2021-10-22,Waterford,"('Ireland', 'Waterford')"
"Blenkarne  Tunnel, 5170",Ireland,459692,Fruit and vegetables,(+44) 6858 823876,alan_heaton606616868@gmail.com,2021-02-07,Waterford,"('Ireland', 'Waterford')"
"Bennett  Rue, 7120",England,451178,Bakery products,(+44) 6110 353142,alan_jackson1355504273@eirey.tech,2021-06-25,Oxford,"('England', 'Oxford')"
"Cheney  Street, 6064",England,460687,Milling,(+44) 3147 255083,alan_jackson1476149041@fuliss.net,2021-03-24,,"('England', nan)"
"Coal Wharf  Boulevard, 3067",England,460186,Poultry and fish,(+44) 2647 414305,alan_jackson1539276537@bungar.biz,2021-07-23,Winchester,"('England', 'Winchester')"
"Lexington Street, 2361",England,460468,Meat,(+44) 6776 780053,alan_jackson1913140288@womeona.net,2021-12-16,Plymouth,"('England', 'Plymouth')"
"Rail Boulevard, 1007",England,460918,Poultry and fish,(+44) 5107 711518,alan_lane1132930618@joiniaa.com,2021-05-24,London,"('England', 'London')"
"Fieldstone Route, 8049",England,447092,Animal feeds,(+44) 2716 324411,alan_lane1303960826@typill.biz,2021-03-11,,"('England', nan)"
"Ensign   Alley, 5450",Ireland,454628,Meat,(+44) 1181 535275,alan_lindop1313787270@naiker.biz,2021-08-25,Limerick,"('Ireland', 'Limerick')"
"Ensign   Way, 3032",England,458515,Milling,(+44) 1271 578321,alan_lindop1694242689@twace.org,2021-08-12,Oxford,"('England', 'Oxford')"
"Angela   Crossroad, 6774",England,454638,Poultry and fish,(+44) 3826 267614,alan_lynch1831385690@corti.com,2021-08-25,,"('England', nan)"
"Carlton  Tunnel, 4784",Ireland,462351,Poultry and fish,(+44) 5022 100628,alan_lynn2108093441@irrepsy.com,2021-09-09,Waterford,"('Ireland', 'Waterford')"
"Falconberg   Boulevard, 696",England,460367,Dairy products,(+44) 7370 574414,alan_lynn637067107@bauros.biz,2021-03-09,Plymouth,"('England', 'Plymouth')"
"Chapel  Vale, 1951",England,460873,Bakery products,(+44) 2411 868830,alan_moran1241195782@gompie.com,2021-10-25,Plymouth,"('England', 'Plymouth')"
"Geffrye   Tunnel, 4704",England,454992,Bakery products,(+44) 3534 188525,alan_moran1909142640@cispeto.com,2021-02-05,Milton Keynes,"('England', 'Milton Keynes')"
"Coalecroft  Grove, 4600",England,463301,Meat,(+44) 3031 040622,alan_moran433773489@dionrab.com,2021-05-10,Winchester,"('England', 'Winchester')"
"Chestnut Rise Boulevard, 5222",England,454809,Fruit and vegetables,(+44) 6304 36884,alan_murray1515469290@bretoux.com,2021-08-06,Milton Keynes,"('England', 'Milton Keynes')"
"Lincoln Avenue, 9441",Ireland,448227,Dairy products,(+44) 6325 883711,alan_murray813353577@mafthy.com,2021-01-09,Dublin,"('Ireland', 'Dublin')"
"Garfield Walk, 411",England,447139,Fruit and vegetables,(+44) 6311 132158,alan_norris1172856050@bauros.biz,2021-10-17,,"('England', nan)"
"Canon Route, 8605",England,454999,Poultry and fish,(+44) 5517 771840,alan_norris2093309548@nanoff.biz,2021-05-31,London,"('England', 'London')"
"Hampden  Drive, 4781",England,461359,Bakery products,(+44) 5063 58762,alan_reid1285983135@muall.tech,2021-04-21,Milton Keynes,"('England', 'Milton Keynes')"
"South Grove, 719",Ireland,462754,Dairy products,(+44) 8037 735460,alan_reid1499815235@twace.org,2021-09-29,Dublin,"('Ireland', 'Dublin')"
"Spruce Grove, 4558",England,460863,Dairy products,(+44) 5775 816473,alan_reid299618013@gembat.biz,2021-08-10,Plymouth,"('England', 'Plymouth')"
"Badric  Grove, 6770",England,458522,Milling,(+44) 7255 446667,alan_rodwell232147670@joiniaa.com,2021-03-25,Plymouth,"('England', 'Plymouth')"
"Linda Lane Road, 8665",England,446649,Meat,(+44) 2033 528680,alan_saunders108744200@vetan.org,2021-08-17,Oxford,"('England', 'Oxford')"
"Cockspur  Boulevard, 1810",Ireland,460389,Bakery products,(+44) 1825 678682,alan_saunders1784376849@supunk.biz,2021-05-17,Dublin,"('Ireland', 'Dublin')"
"Howard Hill, 7665",England,460374,Meat,(+44) 1585 020323,alan_shaw2060171510@kideod.biz,2021-12-18,Milton Keynes,"('England', 'Milton Keynes')"
"Elba  Hill, 5664",Ireland,454987,Dairy products,(+44) 1738 412618,alan_shaw242184142@infotech44.tech,2021-06-01,Limerick,"('Ireland', 'Limerick')"
"Shepherds  Alley, 3448",England,461520,Meat,(+44) 2235 006123,alan_shaw92053038@elnee.tech,2021-11-06,London,"('England', 'London')"
"Thurloe   Drive, 2883",Ireland,460833,Dairy products,(+44) 2607 30025,alan_shields1176191397@bungar.biz,2021-10-05,Waterford,"('Ireland', 'Waterford')"
"Lonsdale  Route, 4929",Ireland,460169,Meat,(+44) 4878 081516,alan_shields466492347@brety.org,2021-07-08,Waterford,"('Ireland', 'Waterford')"
"Bermondsey    Lane, 4903",Ireland,460386,Bakery products,(+44) 7208 842648,alan_simpson1542249522@gompie.com,2021-10-09,Waterford,"('Ireland', 'Waterford')"
"Endsleigh  Road, 1176",Ireland,458520,Dairy products,(+44) 7338 734488,alan_simpson1617024494@nanoff.biz,2021-10-10,Cork,"('Ireland', 'Cork')"
